time,realization,experimentVersionNumber,lat,lon,sd
1987-10-01,0,0001,50.1,12.34,-7.345365e-25
1987-11-01,0,0001,50.1,12.34,0.000497818
1987-12-01,0,0001,50.1,12.34,0.001408577
1988-01-01,0,0001,50.1,12.34,0.0031013489
1988-02-01,0,0001,50.1,12.34,0.022872925
1988-03-01,0,0001,50.1,12.34,0.07130337
1988-04-01,0,0001,50.1,12.34,0.0004787445
1988-05-01,0,0001,50.1,12.34,-7.345365e-25
1988-06-01,0,0001,50.1,12.34,-7.345365e-25
1988-07-01,0,0001,50.1,12.34,-7.345365e-25
1988-08-01,0,0001,50.1,12.34,-7.345365e-25
1988-09-01,0,0001,50.1,12.34,-7.345365e-25
1988-10-01,0,0001,50.1,12.34,1.335144e-05
1988-11-01,0,0001,50.1,12.34,0.0055189133
1988-12-01,0,0001,50.1,12.34,0.0105781555
1989-01-01,0,0001,50.1,12.34,0.0022554398
1989-02-01,0,0001,50.1,12.34,0.0015068054
1989-03-01,0,0001,50.1,12.34,0.0007839203
1989-04-01,0,0001,50.1,12.34,0.0005264282
1989-05-01,0,0001,50.1,12.34,4.196167e-05
1989-06-01,0,0001,50.1,12.34,-7.345365e-25
1989-07-01,0,0001,50.1,12.34,-7.345365e-25
1989-08-01,0,0001,50.1,12.34,-7.345365e-25
1989-09-01,0,0001,50.1,12.34,-7.345365e-25
1989-10-01,0,0001,50.1,12.34,-7.345365e-25
1989-11-01,0,0001,50.1,12.34,0.003019333
1989-12-01,0,0001,50.1,12.34,0.0061397552
1990-01-01,0,0001,50.1,12.34,0.003145218
1990-02-01,0,0001,50.1,12.34,0.007411957
1990-03-01,0,0001,50.1,12.34,0.0031909943
1990-04-01,0,0001,50.1,12.34,0.00019264221
1990-05-01,0,0001,50.1,12.34,-7.345365e-25
1990-06-01,0,0001,50.1,12.34,-7.345365e-25
1990-07-01,0,0001,50.1,12.34,-7.345365e-25
1990-08-01,0,0001,50.1,12.34,-7.345365e-25
1990-09-01,0,0001,50.1,12.34,-7.345365e-25
1990-10-01,0,0001,50.1,12.34,3.0517578e-05
1990-11-01,0,0001,50.1,12.34,0.002325058
1990-12-01,0,0001,50.1,12.34,0.020899773
1991-01-01,0,0001,50.1,12.34,0.0014982224
1991-02-01,0,0001,50.1,12.34,0.011876106
1991-03-01,0,0001,50.1,12.34,0.00042819977
1991-04-01,0,0001,50.1,12.34,0.00044631958
1991-05-01,0,0001,50.1,12.34,4.7683716e-06
1991-06-01,0,0001,50.1,12.34,-7.345365e-25
1991-07-01,0,0001,50.1,12.34,-7.345365e-25
1991-08-01,0,0001,50.1,12.34,-7.345365e-25
1991-09-01,0,0001,50.1,12.34,-7.345365e-25
